"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Context\DatabaseInitializer.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Context\IDatabaseInitializer.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\AdditionalUserRoleConfiguration.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\AddressConfiguration.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\CityConfiguration.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\CountryConfiguration.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\DeviceConfiguration.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\PersonAddressConfiguration.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\PersonConfiguration.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\RoleProfileConfiguration.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\StateConfiguration.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\TemporaryUserRoleConfiguration.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
